,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
53,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationBody,processStatement#QCompilationUnit;QString;QCompositeStatementObject;QStatement,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
54,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,callChainIntersection#QOperationInvocation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
55,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,compatibleExpression#QOperationInvocation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
56,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,compatibleTypes#QUMLParameter;QUMLType;QUMLModelDiff,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
57,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,differInThisDot#QString;QString,ExtractMethod,EXTRACT_METHOD,1,NA,0
58,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,differentExpressionNameAndArguments#QOperationInvocation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
59,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,equals#QObject,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
60,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,hashCode#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
61,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,matchesOperation#QUMLOperation;QMapQStringQUMLType;QUMLModelDiff,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
62,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,normalizedNameDistance#QAbstractCall,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
63,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,processExpression#QExpression;QListQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
64,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,subExpressionIntersection#QOperationInvocation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
65,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,subExpressions#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
66,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,toString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
67,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,update#QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
