,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
35,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,preprocessInput2#QAbstractCodeFragment;QAbstractCodeFragment,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",7,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",5
36,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,removeCommonTypes#QSetQString;QSetQString;QListQString;QListQString,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE",2,INLINE_METHOD,1
37,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,replaceVariablesWithArguments#QMapQStringQList+QAbstractCall;QSetQString;QMapQStringQString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
38,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,replaceVariablesWithArguments#QSetQString;QMapQStringQString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
39,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,resetNodes#QList+QAbstractCodeFragment,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",10,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",3
40,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,temporaryVariableAssignment#QStatementObject;QListQStatementObject,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE,INLINE_METHOD,RENAME_VARIABLE,INLINE_METHOD,RENAME_VARIABLE,RENAME_VARIABLE,INLINE_METHOD,RENAME_VARIABLE,RENAME_VARIABLE",10,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",4
41,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReferenceExtractor,findReturnReferences#QSetQAbstractCodeMapping,InlineMethod,MOVE_AND_INLINE_METHOD,1,INLINE_METHOD,1
42,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,bothFragmentsUseVariable#QVariableDeclaration;QAbstractCodeMapping,InlineMethod,"INLINE_METHOD,INLINE_METHOD,MOVE_AND_INLINE_METHOD",3,"INLINE_METHOD,INLINE_METHOD",2
43,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,consistencyCheck#QVariableDeclaration;QVariableDeclaration;QSetQAbstractCodeMapping,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,EXTRACT_VARIABLE,EXTRACT_VARIABLE",8,"INLINE_METHOD,INLINE_METHOD",2
44,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findAttributeExtractions#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
45,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findConsistentVariableRenames#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
46,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findParametersWrappedInLocalVariables#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
47,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findVariableMerges#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
48,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findVariableSplits#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
49,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,getReplacementOccurrenceMap#QReplacementType,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE",2,INLINE_METHOD,1
50,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,getVariableDeclarationReplacementOccurrenceMap#,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE,RENAME_VARIABLE,RENAME_VARIABLE,RENAME_VARIABLE,RENAME_VARIABLE",6,INLINE_METHOD,1
51,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,prepareLine#QString,InlineMethod,"EXTRACT_VARIABLE,INLINE_METHOD,INLINE_METHOD,EXTRACT_VARIABLE,EXTRACT_VARIABLE,MOVE_AND_INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
52,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,processVariableReplacementWithMethodInvocation#QVariableReplacementWithMethodInvocation;QAbstractCodeMapping;QMapQStringQMapQVariableReplacementWithMethodInvocationQSetQAbstractCodeMapping;QDirection,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
53,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,returnVariableMapping#QAbstractCodeMapping;QReplacement,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
54,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,complexInvocation#QOperationInvocation,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
55,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,deleteNode#QAnonymousClassDeclaration,InlineMethod,"INLINE_METHOD,EXTRACT_VARIABLE",2,INLINE_METHOD,1
56,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,insertNode#QAnonymousClassDeclaration,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE,RENAME_VARIABLE",3,INLINE_METHOD,1
57,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,invalidArrayAccess#QArrayAccess,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
58,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,invalidInfix#QInfixExpression,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
