project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,ServletManagementContextAutoConfiguration,managementServletContext#QWebEndpointProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,SkipSslVerificationHttpRequestFactoryTests,getSsl#QString;QString,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,getPublicKey#QString,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,hasValidKeyId#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,hasValidSignature#QToken;QString,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,validateAlgorithm#QToken,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,validateAudience#QToken,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,validateExpiry#QToken,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,validateIssuer#QToken,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidator,validateKeyIdAndSignature#QToken,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,TokenValidatorTests,getPrivateKey#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,WebMvcEndpointChildContextConfigurationIntegrationTests,toResponseBody#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,WebMvcEndpointChildContextConfigurationIntegrationTests,withWebTestClient#QConsumerQWebClient,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.web.servlet,WebMvcMetricsAutoConfiguration,metricsHttpServerUriTagFilter#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.web.servlet,WebMvcMetricsAutoConfiguration,webMvcTagsProvider#QObjectProviderQWebMvcTagsContributor,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.signalfx,SignalFxMetricsExportAutoConfiguration,signalfxConfig#QSignalFxProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.simple,SimpleMetricsExportAutoConfiguration,simpleConfig#QSimpleProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.stackdriver,StackdriverMetricsExportAutoConfiguration,stackdriverConfig#,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.stackdriver,StackdriverMetricsExportAutoConfiguration,stackdriverMeterRegistry#QStackdriverConfig;QClock,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.statsd,StatsdMetricsExportAutoConfiguration,statsdConfig#QStatsdProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.system,DiskSpaceHealthContributorAutoConfiguration,diskSpaceHealthIndicator#QDiskSpaceHealthIndicatorProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.wavefront,WavefrontMetricsExportAutoConfiguration,createWavefrontSender#QWavefrontConfig,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.wavefront,WavefrontMetricsExportAutoConfiguration,wavefrontConfig#,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.wavefront,WavefrontMetricsExportAutoConfiguration,wavefrontMeterRegistry#QWavefrontConfig;QClock;QWavefrontSender,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.metrics.export.wavefront,WavefrontMetricsExportAutoConfiguration,wavefrontSender#QWavefrontConfig,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,ServletEndpointManagementContextConfiguration,servletExposeExcludePropertyEndpointFilter#QWebEndpointProperties,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,controllerEndpointDiscoverer#QObjectProviderQPathMapper;QObjectProviderQCollectionQEndpointFilterQExposableControllerEndpoint,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,controllerExposeExcludePropertyEndpointFilter#,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,endpointMediaTypes#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,pathMappedEndpoints#QCollectionQEndpointsSupplier,MoveMethod,NA,0,MOVE_METHOD,1
